query,title,docid,link,rel
What is the role of college academic advisors and career counselors,Stephen Miller (political advisor),51260917,https://en.wikipedia.org/wiki/?curid=51260917,1
What is the role of college academic advisors and career counselors,Timeline of Russian interference in the 2016 United States elections,54115568,https://en.wikipedia.org/wiki/?curid=54115568,1
What is the role of college academic advisors and career counselors,Rania Al-Mashat,60385371,https://en.wikipedia.org/wiki/?curid=60385371,1
What is the role of college academic advisors and career counselors,Daniel Rose (real estate developer),50663134,https://en.wikipedia.org/wiki/?curid=50663134,1
What is the role of college academic advisors and career counselors,Presidency of Donald Trump,52231341,https://en.wikipedia.org/wiki/?curid=52231341,1
What is the role of college academic advisors and career counselors,Racial views of Donald Trump,50803613,https://en.wikipedia.org/wiki/?curid=50803613,1
What is the role of college academic advisors and career counselors,Those Who Can't,49384799,https://en.wikipedia.org/wiki/?curid=49384799,3
What is the role of college academic advisors and career counselors,University of Notre Dame,146269,https://en.wikipedia.org/wiki/?curid=146269,2
What is the role of college academic advisors and career counselors,Jacqueline Kennedy Onassis,64372,https://en.wikipedia.org/wiki/?curid=64372,1
What is the role of college academic advisors and career counselors,Boston University,61114,https://en.wikipedia.org/wiki/?curid=61114,2
What is the role of college academic advisors and career counselors,Condoleezza Rice,158177,https://en.wikipedia.org/wiki/?curid=158177,2
What is the role of college academic advisors and career counselors,Henry Kissinger,13765,https://en.wikipedia.org/wiki/?curid=13765,2
What is the role of college academic advisors and career counselors,Steven Spielberg,26940,https://en.wikipedia.org/wiki/?curid=26940,2
What is the role of college academic advisors and career counselors,Jackie Robinson,16193,https://en.wikipedia.org/wiki/?curid=16193,2
What is the role of college academic advisors and career counselors,Theodosius I,31131,https://en.wikipedia.org/wiki/?curid=31131,1
What is the role of college academic advisors and career counselors,Bill Joy,3965,https://en.wikipedia.org/wiki/?curid=3965,1
What is the role of college academic advisors and career counselors,"Princeton, New Jersey",84658,https://en.wikipedia.org/wiki/?curid=84658,1
What is the role of college academic advisors and career counselors,Catholic Church sexual abuse cases,158934,https://en.wikipedia.org/wiki/?curid=158934,1
What is the role of college academic advisors and career counselors,Amelia Earhart,85234,https://en.wikipedia.org/wiki/?curid=85234,1
What is the role of college academic advisors and career counselors,Gottfried Wilhelm Leibniz,12281,https://en.wikipedia.org/wiki/?curid=12281,1
What is the role of college academic advisors and career counselors,Jean Chr�tien,75626,https://en.wikipedia.org/wiki/?curid=75626,1
What is the role of college academic advisors and career counselors,"Maximilian I, Holy Roman Emperor",39070,https://en.wikipedia.org/wiki/?curid=39070,1
What is the role of college academic advisors and career counselors,Louis XV,54247,https://en.wikipedia.org/wiki/?curid=54247,1
What is the role of college academic advisors and career counselors,Cardinal Mazarin,187067,https://en.wikipedia.org/wiki/?curid=187067,1
What is the role of college academic advisors and career counselors,Ben Sasse,39692887,https://en.wikipedia.org/wiki/?curid=39692887,1
What is the role of college academic advisors and career counselors,Steve Bannon,41234808,https://en.wikipedia.org/wiki/?curid=41234808,1
What is the role of college academic advisors and career counselors,Richard B. Spencer,40047903,https://en.wikipedia.org/wiki/?curid=40047903,1
What is the role of college academic advisors and career counselors,Sebastian Gorka,30818068,https://en.wikipedia.org/wiki/?curid=30818068,1
What is the role of college academic advisors and career counselors,John King Jr.,34898316,https://en.wikipedia.org/wiki/?curid=34898316,1
What is the role of college academic advisors and career counselors,Brian Deese,20655987,https://en.wikipedia.org/wiki/?curid=20655987,1
What is the role of college academic advisors and career counselors,Michael Barr (U.S. official),26534210,https://en.wikipedia.org/wiki/?curid=26534210,2
What is the role of college academic advisors and career counselors,George Shultz,23087291,https://en.wikipedia.org/wiki/?curid=23087291,1
What is the role of college academic advisors and career counselors,Chartered (professional),21901824,https://en.wikipedia.org/wiki/?curid=21901824,1
What is the role of college academic advisors and career counselors,Presidency of Barack Obama,20082093,https://en.wikipedia.org/wiki/?curid=20082093,3
What is the role of college academic advisors and career counselors,Jesse Jackson,18603579,https://en.wikipedia.org/wiki/?curid=18603579,2
What is the role of college academic advisors and career counselors,Chris Liddell,21795533,https://en.wikipedia.org/wiki/?curid=21795533,1
What is the role of college academic advisors and career counselors,Louis Brandeis,24102656,https://en.wikipedia.org/wiki/?curid=24102656,1
What is the role of college academic advisors and career counselors,Vivek Kundra,20368922,https://en.wikipedia.org/wiki/?curid=20368922,1
What is the role of college academic advisors and career counselors,Career counseling,11885169,https://en.wikipedia.org/wiki/?curid=11885169,5
What is the role of college academic advisors and career counselors,BLUF (communication),14343191,https://en.wikipedia.org/wiki/?curid=14343191,4
What is the role of college academic advisors and career counselors,Richard Grenell,16766071,https://en.wikipedia.org/wiki/?curid=16766071,1
What is the role of college academic advisors and career counselors,Brooke Rollins,11491036,https://en.wikipedia.org/wiki/?curid=11491036,1
What is the role of college academic advisors and career counselors,Political positions of Joe Biden,12427758,https://en.wikipedia.org/wiki/?curid=12427758,1
What is the role of college academic advisors and career counselors,Presidency of Richard Nixon,14458938,https://en.wikipedia.org/wiki/?curid=14458938,1
